,Tweets
24,"RT @PrasoonPratham: My most favourite Machine learning tools : 

- Google colab
- Kaggle
- TensorFlow
- Pytorch
- SciKit Learn
- Pandas
- M…"
25,@omarsar0 What language (besides python) do you think data scientist or machine learning engineer should be experts in now or maybe in the near future?
26,RT @TDataScience: Beyond CUDA: GPU Accelerated Python for Machine Learning in Cross-Vendor Graphics Cards Made Simple by @AxSaucedo https:/…
27,Some excerpts from my thesis on video compression. Many moons ago...Machine learning was still new and not yet fashionable. https://t.co/sCjcF0eDZx
28,RT @serik0411: The way we train AI is fundamentally flawed #Learning via https://t.co/bQq9jqbHuf https://t.co/HMEnqGm3NE
29,RT @TDataScience: Beyond CUDA: GPU Accelerated Python for Machine Learning in Cross-Vendor Graphics Cards Made Simple by @AxSaucedo https:/…
30,The way we train AI is fundamentally flawed #Learning via https://t.co/bQq9jqbHuf https://t.co/HMEnqGm3NE
31,"RT @svpino: Don't start your career in Machine Learning by writing a lot of code. You should start by learning to think about problems. 

I…"
32,"RT @TDataScience: Reasons why surrogate loss functions are pivotal for classification in machine learning by @JaimeDantas_
https://t.co/Pi6…"
33,"NICE Actimize has announced the latest version of its IFM-X platform that delivers one of the industry’s most advanced detection capabilities powered by AI and machine learning.
Learn more &gt;&gt; https://t.co/roNSZ95rQg
#IFMX #fraud #frauddetection #AI #machinelearning https://t.co/EwNmUdPbhJ"
34,RT @picardonhealth: Can an Algorithm Prevent #Suicide? The U.S. Department of Veterans Affairs has turned to machine-learning to help ident…
35,"RT @TDataScience: Regularization in Machine Learning by Göktuğ Güvercin
https://t.co/U9PSKZpslF"
36,"RT @RichardEudes: The way we train AI is fundamentally flawed https://t.co/kgiRVQ7oR8 #artificialintelligence, #businessanalytics #ba, #dat…"
37,RT @TDataScience: From research to production: scaling a state-of-the-art machine learning system by Lester Solbakken https://t.co/BF9pUfpg…
38,"RT @PrasoonPratham: Here's what your first 30 days of Machine Learning should look like.

(I wish I had this before)
🧵👇 https://t.co/7LsR7V…"
39,RT @elonmusk: Deus ex machine learning https://t.co/5ZSYalVczx
40,"RT @omarsar0: Python has become extremely popular. I feel that data science and machine learning have a lot to do with it.

Lots of people…"
41,RT @AWSstartups: Join two AWS #ML experts @alliekmiller &amp; Sean Wilkinson to hear the rundown of the newest AWS #machinelearning releases. Y…
42,"Knowledge Update:

🤖 MACHINE LEARNING INTERVIEW QUESTIONS AND ANSWERS 2020 🤩

https://t.co/DOhIwbus0a

#machinelearning #deeplearning #interview #learning #jobsearch #machinelearningtraining #machinelearningcourse #machinelearningjobs #machinelearningtools @slashML @MLjobscom https://t.co/9TaJY9qTol"
43,"RT @omarsar0: Python has become extremely popular. I feel that data science and machine learning have a lot to do with it.

Lots of people…"
44,"RT @PrasoonPratham: My most favourite Machine learning tools : 

- Google colab
- Kaggle
- TensorFlow
- Pytorch
- SciKit Learn
- Pandas
- M…"
45,"RT @omarsar0: Python has become extremely popular. I feel that data science and machine learning have a lot to do with it.

Lots of people…"
46,RT @TDataScience: Beginner-friendly resources for Machine Learning by @TejasMorkar https://t.co/1RDfwxTOKN
47,Can an Algorithm Prevent #Suicide? The U.S. Department of Veterans Affairs has turned to machine-learning to help identify vets at risk of taking their own lives https://t.co/O6QtyRvORV via @NYThealth #MentalHealth
48,"RT @TDataScience: The 4 ways of doing Machine Learning by Markus Schmitt
https://t.co/OamAFkiI2M"
49,"In 2018, @ZSLconservation deployed acoustic recording devices in the Dja Faunal Reserve. Learn how using #MachineLearning to classify gunshots can protect wildlife → https://t.co/PHCrxpeMBS"
50,"RT @nerkar_krish: Best Places To Find Datasets For Your Next Machine Learning Project

https://t.co/B8r03QUN8q
https://t.co/Hvocxw2RL8
http…"
51,"RT @nerkar_krish: Best Places To Find Datasets For Your Next Machine Learning Project

https://t.co/B8r03QUN8q
https://t.co/Hvocxw2RL8
http…"
52,"RT @adjunctprofesor: What's a machine learning algorithm that keeps on giving [to Biden]?
Synthetic Minority Oversampling Technique.

👀 Dom…"
53,"RT @PrasoonPratham: Data cleaning is a very important part of machine learning, recently I came across @trymito which was a game changer.…"
54,"RT @adjunctprofesor: What's a machine learning algorithm that keeps on giving [to Biden]?
Synthetic Minority Oversampling Technique.

👀 Dom…"
55,"RT @222_skawngur: หลังจากทำงานในบ.อินแจ ดัลมีก็ออกมาตั้งบ.ใหม่เอง ใช้ชื่อว่า ""ชองมยอง คอมปานี"" (ชื่อของพ่อดัลมี) ซึ่งดัลมีเป็นCEO 
เอาโปรเจ…"
56,Researchers Use Machine Learning to Study Palladium-Copper Alloy for Better Catalyst Des... https://t.co/Ievh0R3XE0 https://t.co/6cvAqxSuhr
57,"ne learning, 5G, IoT will be most important tech in 2021: Study -  https://t.co/n0qcT6h7kO #machinelearning #intoAInews"
58,"We are proud to announce our participation in this year’s Artificial Intelligence Virtual Summit @IOTSWC with our session - Machine Learning to the Extreme: Teaching AI to Sail the 2nd December at 11:00 AM
Register free here https://t.co/nSAKNfYAxG

#IOT #DigitalTwin #AI #IOTSWC https://t.co/mgVNMj43SX"
59,Potential of AI and Machine Learning to Stop Bot Attacks https://t.co/FnGKadmusK  #MachineLearning
60,"The real question is can we get past the now invalid assumption that most humans can work for a decent wage going forward.
https://t.co/vgi0ngetqT
#machinelearning #ML #AI #artificialintelligence https://t.co/3r6h4PCihu"
61,"Healthcare Cloud Computing Market | Constantly Developing Technologies of IoT, Machine Learning, and AI Drive the Market Growth https://t.co/UOXxysD6Va"
62,RT @into_AI: Why Automated Machine Learning Is Becoming A Must-Have Business Intelligence Skill -  https://t.co/485iN7kIpf #machinelearning…
63,"RT @nathanpsmad: Preparing a talk on machine learning to predict bacterial resistance. Any nice refs? 

My favourite by far is Yelin et al.…"
64,RT @kpodnar: #ML models often fail and then need to be tweaked or tuned. The reason is the data used to train and test the AI is fundamenta…
65,"RT @into_AI: Global AI/ Machine Learning Market Top Manufacturers : GOOGLE, IBM, BAIDU, -  https://t.co/CPvmIHHpYV #machinelearning #intoAI…"
66,RT @k21academy: The DP-100 #Microsoft #Azure Data Scientist Certification is for those who apply their knowledge of #datascience &amp; #machine…
67,Why Automated Machine Learning Is Becoming A Must-Have Business Intelligence Skill -  https://t.co/485iN7kIpf #machinelearning #intoAInews
68,RT @TDataScience: 5 Types of Machine Learning Algorithms You Need to Know by @SaraMetwalli  https://t.co/9zcEwC24xW
69,#ML models often fail and then need to be tweaked or tuned. The reason is the data used to train and test the AI is fundamentally different to what the AI encounters in the real world. Now we know the problem is bigger due to how #AI is trained and tuned. https://t.co/OtAD36pRPL
70,RT @iacus: Forecasting asylum applications in the European Union with machine learning and data at scale w/ @MCarammia @teddy_wilkin https:…
71,RT @k21academy: The DP-100 #Microsoft #Azure Data Scientist Certification is for those who apply their knowledge of #datascience &amp; #machine…
72,"RT @PrasoonPratham: My most favourite Machine learning tools : 

- Google colab
- Kaggle
- TensorFlow
- Pytorch
- SciKit Learn
- Pandas
- M…"
73,"RT @nerkar_krish: Best Places To Find Datasets For Your Next Machine Learning Project

https://t.co/B8r03QUN8q
https://t.co/Hvocxw2RL8
http…"
74,"RT @nerkar_krish: Best Places To Find Datasets For Your Next Machine Learning Project

https://t.co/B8r03QUN8q
https://t.co/Hvocxw2RL8
http…"
75,RT @k21academy: The DP-100 #Microsoft #Azure Data Scientist Certification is for those who apply their knowledge of #datascience &amp; #machine…
76,"Best Places To Find Datasets For Your Next Machine Learning Project

https://t.co/B8r03QUN8q
https://t.co/Hvocxw2RL8
https://t.co/LiWCMvhB7W
https://t.co/aV55rb4QY9
https://t.co/yJUKdKYuji

#100DaysOfCode #100DaysOfMLCode #CodeNewbie #Data #machinelearning"
77,"The DP-100 #Microsoft #Azure Data Scientist Certification is for those who apply their knowledge of #datascience &amp; #machinelearning to implement &amp; run machine learning workloads on Azure.

Explore its benefits &amp; Exam details by reading this blog👉https://t.co/YA7xe7ir4O"
78,"Bayar zakat
- Tasbih digital
- Streaming radio Islam, bisa mendengarkan kajian dimana sj kapan sj.
Dan fitur unggulannya yaitu Fasih, sbuah fitur yg memungkinan bljr tajwid dimana sj dg menggunakan bantuan machine learning dg validasi qari profesional, sehingga bacaan qur'an"
79,"Global AI/ Machine Learning Market Top Manufacturers : GOOGLE, IBM, BAIDU, -  https://t.co/CPvmIHHpYV #machinelearning #intoAInews"
80,Vaguely sinister virtuoso Elon Musk spills the beans on his newest brainwave: perpetual machine learning
81,"RT @karlrohe: Tenure track position at UW Madison Stat Dept!

Applied, theoretical, statistics, data science, machine learning, other, etc…"
82,"Tenure track position at UW Madison Stat Dept!

Applied, theoretical, statistics, data science, machine learning, other, etc

We are looking broadly.

Please apply! Open rank!

Individuals from underrepresented groups are particularly encouraged to apply

https://t.co/BWKf4aSntD"
83,"RT @adjunctprofesor: What's a machine learning algorithm that keeps on giving [to Biden]?
Synthetic Minority Oversampling Technique.

👀 Dom…"
84,How might we reinvent machine learning for fun and profit?
85,"RT @_life_examined_: ML problem solving framework.

Before you dive in to modeling, consider these:

(from Geron's book ""Hands-on Machine L…"
86,"RT @_life_examined_: ML problem solving framework.

Before you dive in to modeling, consider these:

(from Geron's book ""Hands-on Machine L…"
87,"RT @PrasoonPratham: My most favourite Machine learning tools : 

- Google colab
- Kaggle
- TensorFlow
- Pytorch
- SciKit Learn
- Pandas
- M…"
88,"RT @stpiindia: #AI &amp; #ML can play a pivotal role in transforming logistic sector by automating warehouse operations, increasing productivit…"
89,RT @Bariiiiiq: Anyone want to do my machine learning homework for me 🥺
90,"RT @sjmgarnier: While everyone is showing off their fancy machine-learning-based tracking systems (looking at you @DanielKronauer), @englis…"
91,"RT @NinaFuture: People learning plays an enormous role in building smarter orgs. Check out my ""Machine Learning x People Learning"" talk at…"
92,Anyone want to do my machine learning homework for me 🥺
93,"People learning plays an enormous role in building smarter orgs. Check out my ""Machine Learning x People Learning"" talk at AI World https://t.co/SfIkalABGY #AI #leadershipbydesign #futureofwork #peoplefirst"
94,"RT @omarsar0: Python has become extremely popular. I feel that data science and machine learning have a lot to do with it.

Lots of people…"
95,"今日の積み上げ
 Statistical Inference 4ページ
 プログラマーのための線形代数 11ページ
 practical sql (postgresql) 1章分
 python machine learning
 マーケティング検定2級問題集 1章分

＊有益なものに時間を使い、無駄なものは手抜きしてすぐ終わらす

#今日の積み上げ
#データサイエンス"
96,RT @TDataScience: Emerging Problems in Data Science and Machine Learning  https://t.co/dkMWHxC6Da
97,"RT @omarsar0: Python has become extremely popular. I feel that data science and machine learning have a lot to do with it.

Lots of people…"
98,"Python has become extremely popular. I feel that data science and machine learning have a lot to do with it.

Lots of people are interested to learn Python.

I learned mainly using 3 resources:
- Codecademy
- HackerRank
- Official documentation

Avoid the noise, just get started."
99,RT @TDataScience: SHAP: How to Interpret Machine Learning Models With Python by Dario Radečić https://t.co/nWqgE3W5Zg
100,RT @TDataScience: Emerging Problems in Data Science and Machine Learning  https://t.co/dkMWHxC6Da
101,RT @TDataScience: Emerging Problems in Data Science and Machine Learning  https://t.co/dkMWHxC6Da
102,"RT @ValaAfshar: Top technology investments for CIOs and IT:

1. Security
2. Big data and analytics
3. Internet of things
4. Multi-cloud str…"
103,RT @TDataScience: Is Your Machine Learning Model Likely to Fail? by @Nicole_Janeway  https://t.co/SWO0qPiRyK
104,RT @fescobar96: Decision trees are flexible Machine Learning models that can perform regression and classification tasks. They are powerful…
105,RT @TDataScience: Is Your Machine Learning Model Likely to Fail? by @Nicole_Janeway  https://t.co/SWO0qPiRyK
106,RT @fescobar96: Decision trees are flexible Machine Learning models that can perform regression and classification tasks. They are powerful…
107,"RT @adjunctprofesor: What's a machine learning algorithm that keeps on giving [to Biden]?
Synthetic Minority Oversampling Technique.

👀 Dom…"
108,Halo Leaves! Ada yang tertarik untuk belajar trading dengan machine learning? Berikut adalah artikel tentang pengenalan reinforcement learning untuk trading dari @dennybritz https://t.co/KLc1OmN1E3. Silahkan dibaca :) #MachineLearning
109,"RT @PrasoonPratham: 𝘐𝘵 𝘵𝘰𝘰𝘬 𝘮𝘦 2 𝘺𝘦𝘢𝘳𝘴 𝘵𝘰 𝘨𝘦𝘵 𝘪𝘯𝘵𝘰 𝘮𝘢𝘤𝘩𝘪𝘯𝘦 𝘭𝘦𝘢𝘳𝘯𝘪𝘯𝘨.

Yes, 2 years.

Here some takeaways from my machine learning journey w…"
110,"RT @PrasoonPratham: Data cleaning is a very important part of machine learning, recently I came across @trymito which was a game changer.…"
111,RT @TDataScience: Why 90 percent of all machine learning models never make it into production by @RheaMoutafis  https://t.co/v1eeDedQQr
112,"RT @adjunctprofesor: What's a machine learning algorithm that keeps on giving [to Biden]?
Synthetic Minority Oversampling Technique.

👀 Dom…"
113,"RT @_aylien: Scanning worldwide news to identify the biggest product recall events of the last two months.
We utilized a combination of AYL…"
114,Google AI Blog : The Machine Learning Behind Hum to Search #MachineLearning  -  https://t.co/Nq4gZt6zjK via @GoogleAI
115,"Scanning worldwide news to identify the biggest product recall events of the last two months.
We utilized a combination of AYLIEN’s #NLP enrichments and machine learning to identify the relevant news.

#productrecall #newsintelligence #NLProc
https://t.co/4nEZmOH2UE https://t.co/IoihjJRknS"
116,"RT @adjunctprofesor: What's a machine learning algorithm that keeps on giving [to Biden]?
Synthetic Minority Oversampling Technique.

👀 Dom…"
117,"RT @WileyEd: Handling Imbalanced Data – Machine Learning, Computer Vision and NLP  https://t.co/C9xPso1PWC | #DataScience #MachineLearning…"
118,"RT @DILUCAJobs: Machine learning can fill in missing information in public health data, U of A research shows https://t.co/XpucWAggnc #ai"
119,RT @dius_au: We're seeing increasing interest from organisations wanting to drive new value from #machinelearning. So what's stopping adopt…
120,Interpretability in Machine Learning: An Overview https://t.co/805GjZNoBa
121,RT @DavidMezzetti: Applying machine learning to solve everyday problems. In more programming languages! https://t.co/CozmUXpG3l
122,"ML problem solving framework.

Before you dive in to modeling, consider these:

(from Geron's book ""Hands-on Machine Learning"")

#MachineLearning #DataScience #Python https://t.co/XWaHEGIZvt"
123,"RT @ThinkGoogleUK: Automation can help retailers offer better, personalised services, but there’s a fine line between what customers find h…"
124,"🐱🐶🐱 Best of https://t.co/cXLlhpkfdJ for AI, Machine Learning, and Deep Learning – October 2020 - insideBIGDATA  https://t.co/fGNibNhJbD #CuttingEdge #DeepLearning #AI https://t.co/WGmIIDmHKn"
125,RT @elonmusk: Deus ex machine learning https://t.co/5ZSYalVczx
126,"[8/11] The Models, Inference &amp; Algorithms (MIA) Initiative (Topic: Machine Learning in Biology and Medicine)
👥 @broadinstitute
🔗 https://t.co/e6LeCwFaao 
📅 weekly"
127,"[4/11] Physics Meets Machine Learning
🔗 https://t.co/NUOcvr3lzU 
📅 bi-weekly"
128,"@camandro @tomahock @apambiente (mais ingenuidade)
Pode ser também para lançar investigação (machine learning, …) sobre impactos no ambiente resultantes do confinamento. Mas isso provavelmente não seria feito in-house (infelizmente!)."
129,"[3/11] Trustworthy Machine Learning Initiative
👥 @trustworthy_ml
🔗 https://t.co/o6rdUxeNOu
📅 bi-weekly"
130,"[1/11] Recently, I got a question about which machine learning seminars/reading groups are open to the public. I couldn't find a list, so I decided to create one. It's great to see that there are so many! 📖🧵👇"
131,"RT @svpino: Here is one of the best resources I've found to learn some of the math behind Machine Learning!

And it's free!

""Introduction…"
132,"RT @drsrinathsridha: I am looking for PhD students to join my group in Fall 2021 @BrownCSDept

If you are interested in 3D computer vision…"
133,"RT @drsrinathsridha: I am looking for PhD students to join my group in Fall 2021 @BrownCSDept

If you are interested in 3D computer vision…"
134,"@KernelFreeze @nategentile7 No sé mucho del tema de IAs, pero el chip M1 tiene un apartado de Machine Learning. Imagino que podrían usarse esos 16 núcleos para ello."
135,"RT @adjunctprofesor: What's a machine learning algorithm that keeps on giving [to Biden]?
Synthetic Minority Oversampling Technique.

👀 Dom…"
136,"RT @adjunctprofesor: What's a machine learning algorithm that keeps on giving [to Biden]?
Synthetic Minority Oversampling Technique.

👀 Dom…"
137,"RT @PrasoonPratham: My most favourite Machine learning tools : 

- Google colab
- Kaggle
- TensorFlow
- Pytorch
- SciKit Learn
- Pandas
- M…"
138,"RT @drsrinathsridha: I am looking for PhD students to join my group in Fall 2021 @BrownCSDept

If you are interested in 3D computer vision…"
139,Machine Learning Solution Architecture #Learning #machinelearning  https://t.co/Ze7EtGl8ey
140,RT @elonmusk: Deus ex machine learning https://t.co/5ZSYalVczx
141,RT @McKinsey_MGI: How can we take machine learning out of the lab and make it shine in the real world? The key lies in “underspecification.…
142,"RT @Devils_Iawyer: Llevo varios años trabajando en el sector de la tecnología, la programación, Big Data, IoT, Machine Learning, Inteligenc…"
143,GCPのProfessional Machine Learning Engineer受けてみようかしら(GCP使ったことないけど、これを機に勉強しようと思ってます)
144,"RT @InnovationIncu: A Gentle Introduction to PyCaret for Machine Learning
https://t.co/O5gSoMRfSh
PyCaret is a Python open source #machinel…"
145,"RT @adjunctprofesor: What's a machine learning algorithm that keeps on giving [to Biden]?
Synthetic Minority Oversampling Technique.

👀 Dom…"
146,"RT @stpiindia: #AI &amp; #ML can play a pivotal role in transforming logistic sector by automating warehouse operations, increasing productivit…"
147,RT @DavidMezzetti: Applying machine learning to solve everyday problems. In more programming languages! https://t.co/CozmUXpG3l
148,لا يفوتكم التسجيل في هذا اللقاء: https://t.co/1LtLqmLN6n #Sentiment #AI
149,RT @DavidMezzetti: Applying machine learning to solve everyday problems. In more programming languages! https://t.co/CozmUXpG3l
150,RT @DavidMezzetti: Applying machine learning to solve everyday problems. In more programming languages! https://t.co/CozmUXpG3l
151,Applying machine learning to solve everyday problems. In more programming languages! https://t.co/CozmUXpG3l
152,@NESbot_feed I hope machine learning based temporal image reconstruction comes fast to all nextgen consoles. Native 4K is waste of GPU resources.
153,"RT @adjunctprofesor: What's a machine learning algorithm that keeps on giving [to Biden]?
Synthetic Minority Oversampling Technique.

👀 Dom…"
154,"So Machine Learning more like 
Kuyabheda oku kusweleka ndinelishwa unyoko umgqakhwe"
155,I'd rather get started with game development than learn machine learning. :D
156,"RT @BrankoBoro: Top Google AI, Machine Learning Tools for Everyone #MachineLearning #learning via https://t.co/JTOOTycanK https://t.co/0qFl…"
157,"Top Google AI, Machine Learning Tools for Everyone #MachineLearning #learning via https://t.co/JTOOTycanK https://t.co/0qFlaTtMMD"
158,How Machine Learning Works for Social Good #MachineLearning #learning via https://t.co/mEs8GUBxIB https://t.co/tTeiSIg3er
159,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
160,"@chidinmaekile Am getting a sewing machine
Have finished learning tailoring and have been using others tool.
Please remember me today
#JarabyDerek"
161,"RT @ipfconline1: 50 Million Artificial Neurons to Facilitate #MachineLearning Research 

https://t.co/KFzWguT4Q3 by 
@SandiaLabs via @techx…"
162,One of the techs that never fails to amaze me is TikTok. (I don't use it tho). Look at their filters - I'm familiar coz some vids appear on my FB timeline. I'm pretty sure they utilize machine learning.
163,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
164,RT @neumll: This is a major milestone release. Python is fantastic but we feel it's important to provide additional bindings to broaden the…
165,"RT @PrasoonPratham: My most favourite Machine learning tools : 

- Google colab
- Kaggle
- TensorFlow
- Pytorch
- SciKit Learn
- Pandas
- M…"
166,"This is a major milestone release. Python is fantastic but we feel it's important to provide additional bindings to broaden the reach and application of machine learning. If you have additional languages (R, Go, Rust, Java, C# etc) you'd like to see, please respond!"
167,"@NICE_Actimize has announced the latest version of its IFM-X platform that delivers one of the industry’s most advanced detection capabilities powered by AI and machine learning.

Learn more &gt;&gt;
https://t.co/J42hurjqme

#IFMX #fraud #frauddetection #AI #machinelearning https://t.co/RL2EdJcmqG"
168,"RT @journalismnews: At December's @newsrewired conference, @dmitryshishkin will show how data science, machine learning and historical data…"
169,"RT @PrasoonPratham: My most favourite Machine learning tools : 

- Google colab
- Kaggle
- TensorFlow
- Pytorch
- SciKit Learn
- Pandas
- M…"
170,"At December's @newsrewired conference, @dmitryshishkin will show how data science, machine learning and historical data can help journalists look towards the future. https://t.co/ZZR0OaxN5B https://t.co/bpz6wViHtt"
171,"RT @DILUCAJobs: Machine learning can fill in missing information in public health data, U of A research shows https://t.co/XpucWAggnc #ai"
172,RT @Nature_NPJ: Machine learning approaches can be used to leverage computationally expensive quantum chemical calculations for the estimat…
173,"RT @svpino: Here is one of the best resources I've found to learn some of the math behind Machine Learning!

And it's free!

""Introduction…"
174,"RT @jennifazor: I can only give what I have, I have skill 😎 so part of my 2021 goals is to  teach &amp; train at least 500 people in Machine le…"
175,"Machine learning can fill in missing information in public health data, U of A research shows https://t.co/XpucWAggnc #ai"
176,"RT @couponed_code: Machine Learning Deep Learning Model Deployment 
@udemy Udemy Promo Discount

https://t.co/mz5AngC2RJ

#DeepLearning #An…"
177,"RT @couponed_code: Machine Learning Deep Learning Model Deployment 
@udemy Udemy Promo Discount

https://t.co/mz5AngC2RJ

#DeepLearning #An…"
178,"RT @couponed_code: Machine Learning Deep Learning Model Deployment 
@udemy Udemy Promo Discount

https://t.co/mz5AngC2RJ

#DeepLearning #An…"
179,"RT @svpino: Don't start your career in Machine Learning by writing a lot of code. You should start by learning to think about problems. 

I…"
180,RT @AmazonScience: Interested in artificial intelligence and machine learning? Follow Amazon Science and be the first to hear about the lat…
181,RT @AWSstartups: Join two AWS #ML experts @alliekmiller &amp; Sean Wilkinson to hear the rundown of the newest AWS #machinelearning releases. Y…
182,RT @AWSstartups: Join two AWS #ML experts @alliekmiller &amp; Sean Wilkinson to hear the rundown of the newest AWS #machinelearning releases. Y…
183,"@ippsec Or why Defender/ASR is too dumb to differentiate it’s own wmi actions from a potential attacker. 

It probably has something to do with AI or machine learning...."
184,Machine learning has a real chance to be groundbreaking in low health resource areas. https://t.co/78xKfYVtU9
185,"RT @HarbRimah: Reproducible Data Science with Machine Learning

#DataScience #MachineLearning #Python #AI #100DaysOfCode #DEVCommunity #IoT…"
186,"RT @HarbRimah: Reproducible Data Science with Machine Learning

#DataScience #MachineLearning #Python #AI #100DaysOfCode #DEVCommunity #IoT…"
187,"RT @HarbRimah: Reproducible Data Science with Machine Learning

#DataScience #MachineLearning #Python #AI #100DaysOfCode #DEVCommunity #IoT…"
188,"RT @HarbRimah: Reproducible Data Science with Machine Learning

#DataScience #MachineLearning #Python #AI #100DaysOfCode #DEVCommunity #IoT…"
189,"RT @adjunctprofesor: What's a machine learning algorithm that keeps on giving [to Biden]?
Synthetic Minority Oversampling Technique.

👀 Dom…"
190,"RT @RobinWigg: @Sentieo Battle of the buzzwords. Green is ""sustainability""; yellow is ""big data""; red is ""artificial intelligence""; light b…"
191,"Why are you not concerned about what you put inside your mind and your body?

Now they are syphoning your essence for machine learning &amp; none of you are even aware of it, just mindlessly consuming anything that's advertised..

After all if it's on TV then it's God, Right?
02:12"
192,"RT @reach2ratan: How DeepMap optimizes their video inference workflow with Amazon SageMaker Processing https://t.co/afSTSutMEf

#CyberSecur…"
193,@annstable_ Related ba ‘to sa Machine Learning? HAHAHA
194,"5)

Dan fitur unggulannya yaitu Fasih, sebuah fitur yang memungkinan belajar tajwid dimana saja dengan menggunakan bantuan machine learning dengan validasi qari profesional, sehingga bacaan qur'an ikhwah bisa langsung realtime dikoreksi oleh Fasih."
195,RT @Aditics2: Data Science for Managers [Mindmap] #BigData via https://t.co/UF63LtWPIa https://t.co/bJQWJxFEiB
196,"RT @svpino: Don't start your career in Machine Learning by writing a lot of code. You should start by learning to think about problems. 

I…"
197,RT @elonmusk: Deus ex machine learning https://t.co/5ZSYalVczx
198,"Deep Learning as a Service: #IBM vereinfacht KI!
IBM senkt die Eintrittsbarriere für Kunden, die in ihrem Unternehmen Machine und Deep Learning nutzen wollen. Lesen Sie mehr: https://t.co/3bi76IObc3 https://t.co/QGMtUY9uf4"
199,"Got my swags from @GoogleCloud_IN today. Thanks for this wonderful opportunity to be #GoogleCloudReady. Learned awesome things like customizing Google Assistant for building interactive apps, Machine learning models and lot more during this period. https://t.co/8r7GuXMcBx"
200,me perguntando aqui o que um engenheiro de machine learning faz
201,STRUCTURED DATA Vs UNSTRUCTURED DATA | MACHINE LEARNING https://t.co/keGhiATTCY via @YouTube
202,"RT @ValaAfshar: Top technology investments for CIOs and IT:

1. Security
2. Big data and analytics
3. Internet of things
4. Multi-cloud str…"
203,A Recurrence-Specific Gene-Based Prognosis Prediction Model for Lung Adenocarcinoma through Machine Learning Algorithm https://t.co/nXKA7LKb6V
204,"RT @ValaAfshar: Top technology investments for CIOs and IT:

1. Security
2. Big data and analytics
3. Internet of things
4. Multi-cloud str…"
205,What is the biggest farce of the past decade? Machine Learning.
206,"RT @AIFeeds: #News: Artificial intelligence, machine learning, 5G, IoT will be most important tech in 2021: Study #artificialintelligence #…"
